variable,winter,site,sex,mean,sd,genets
ramets,1986-1987,Makapu'u,F,8.7,8.3,97
ramets,1986-1987,Makapu'u,M,7.2,5.2,105
ramets,1986-1987,Makapu'u,H,10.8,11.0,21
ramets,1986-1987,Kahakuloa,F,16.4,16.3,60
ramets,1986-1987,Kahakuloa,M,16.2,15.5,52
ramets,1986-1987,Kahakuloa,H,24.0,18.4,2
ramets,1986-1987,Waihe'e,F,8.7,5.3,54
ramets,1986-1987,Waihe'e,M,11.2,7.6,57
ramets,1986-1987,Waihe'e,H,22.0,12.8,3
ramets,1987-1988,Makapu'u,F,18.8,15.1,37
ramets,1987-1988,Makapu'u,M,20.1,18.8,32
ramets,1987-1988,Makapu'u,H,,,0
ramets,1987-1988,Kahakuloa,F,14.5,9.9,2.4
ramets,1987-1988,Kahakuloa,M,13.9,9.1,34
ramets,1987-1988,Kahakuloa,H,23.5,0.7,2
ramets,1987-1988,Waihe'e,F,10.6,7.4,15
ramets,1987-1988,Waihe'e,M,12.2,11.0,6
ramets,1987-1988,Waihe'e,H,,,0
inflor_per_genet,1986-1987,Makapu'u,F,6.5,7.4,97
inflor_per_genet,1986-1987,Makapu'u,M,5.1,5.7,100
inflor_per_genet,1986-1987,Makapu'u,H,12.0,18.9,22
inflor_per_genet,1986-1987,Kahakuloa,F,8.5,10.1,51
inflor_per_genet,1986-1987,Kahakuloa,M,8.4,8.4,41
inflor_per_genet,1986-1987,Kahakuloa,H,8.0,4.2,2
inflor_per_genet,1986-1987,Waihe'e,F,3.2,2.6,48
inflor_per_genet,1986-1987,Waihe'e,M,4.3,4.1,49
inflor_per_genet,1986-1987,Waihe'e,H,7.0,1.7,3
inflor_per_genet,1987-1988,Makapu'u,F,5.3,10.9,40
inflor_per_genet,1987-1988,Makapu'u,M,7.3,10.3,33
inflor_per_genet,1987-1988,Makapu'u,H,,,0
inflor_per_genet,1987-1988,Kahakuloa,F,5.9,4.9,26
inflor_per_genet,1987-1988,Kahakuloa,M,5.3,10.9,40
inflor_per_genet,1987-1988,Kahakuloa,H,13.0,7.1,2
inflor_per_genet,1987-1988,Waihe'e,F,1.1,1.9,14
inflor_per_genet,1987-1988,Waihe'e,M,2.7,4.0,7
inflor_per_genet,1987-1988,Waihe'e,H,,,0
flowers_per_inflor,1986-1987,Makapu'u,F,243.8,130.7,69
flowers_per_inflor,1986-1987,Makapu'u,M,200.5,86.4,42
flowers_per_inflor,1986-1987,Makapu'u,H,182.5,92.6,23
flowers_per_inflor,1986-1987,Kahakuloa,F,225.6,106.3,30
flowers_per_inflor,1986-1987,Kahakuloa,M,175.2,87.1,39
flowers_per_inflor,1986-1987,Kahakuloa,H,196.0,178.2,2
flowers_per_inflor,1986-1987,Waihe'e,F,174.6,105.2,7
flowers_per_inflor,1986-1987,Waihe'e,M,166.1,72.5,11
flowers_per_inflor,1986-1987,Waihe'e,H,,,0
capsules_per_inflor,1986-1987,Makapu'u,F,105.8,58.6,52
capsules_per_inflor,1986-1987,Makapu'u,H,22.3,38.0,11
capsules_per_inflor,1986-1987,Kahakuloa,F,98.5,58.6,8
capsules_per_inflor,1986-1987,Kahakuloa,H,89.0,,1
capsules_per_inflor,1986-1987,Waihe'e,F,98.2,91.8,18
capsules_per_inflor,1986-1987,Waihe'e,H,,,0
seeds_per_capsule,1986-1987,Makapu'u,F,20.7,7.8,54
seeds_per_capsule,1986-1987,Makapu'u,H,17.6,7.9,12
seeds_per_capsule,1986-1987,Kahakuloa,F,18.4,11.0,26
seeds_per_capsule,1986-1987,Kahakuloa,H,14.8,7.5,4
seeds_per_capsule,1986-1987,Waihe'e,F,24.9,5.2,17
seeds_per_capsule,1986-1987,Waihe'e,H,31.5,4.8,3
seed_mass_mg,1988-1989,Makapu'u,F,0.113,0.002,8
seed_mass_mg,1988-1989,Makapu'u,H,0.110,0.002,8